,State,DC Fast Charge,Level 1,Level 2,EV Network
698,MI,,1.0,1.0,ChargePoint Network
699,MI,,2.0,2.0,ChargePoint Network
700,MI,,1.0,1.0,ChargePoint Network
701,MI,,1.0,1.0,ChargePoint Network
702,MI,,1.0,1.0,ChargePoint Network
703,MI,,1.0,1.0,ChargePoint Network
704,MI,,1.0,1.0,ChargePoint Network
705,MN,,1.0,1.0,
706,MO,,1.0,1.0,ChargePoint Network
707,SC,,,1.0,
708,VA,,,1.0,
709,SC,,,2.0,
710,SC,,,1.0,
711,CT,,,1.0,
712,DC,,1.0,1.0,
713,FL,,,2.0,
714,MI,,,1.0,
715,MI,,,2.0,
716,MI,,,24.0,
717,MI,,2.0,2.0,ChargePoint Network
718,MI,,,2.0,
719,MI,,,1.0,
720,MI,,,2.0,
721,MI,,,1.0,
722,OH,,,2.0,
723,MI,,,4.0,Tesla
724,MD,,2.0,,
725,NY,,2.0,2.0,
726,VA,,,3.0,
727,MI,,,4.0,
728,NC,,1.0,1.0,
729,NC,,1.0,2.0,
730,MD,,,2.0,SemaCharge Network
731,NC,,1.0,1.0,
732,NC,,1.0,1.0,
733,OR,,2.0,3.0,
734,VA,,,1.0,SemaCharge Network
735,WA,,,8.0,
736,OR,,1.0,1.0,
737,OR,,1.0,1.0,
738,GA,,6.0,6.0,
739,HI,,,1.0,
740,IL,,,2.0,
741,IL,,,2.0,ChargePoint Network
742,IL,,,1.0,ChargePoint Network
743,IL,,,1.0,ChargePoint Network
744,IL,,,1.0,ChargePoint Network
745,IL,,,1.0,ChargePoint Network
746,MD,,,2.0,SemaCharge Network
747,MD,,,2.0,SemaCharge Network
748,NH,,2.0,2.0,ChargePoint Network
749,TN,,1.0,1.0,ChargePoint Network
750,NC,,,2.0,
751,OR,,1.0,1.0,ChargePoint Network
752,OR,,1.0,1.0,ChargePoint Network
753,SC,,,1.0,ChargePoint Network
754,AR,,,1.0,
755,AR,,1.0,1.0,ChargePoint Network
756,AR,,1.0,1.0,ChargePoint Network
757,FL,,1.0,1.0,ChargePoint Network
758,FL,,,2.0,ChargePoint Network
759,FL,,,2.0,ChargePoint Network
760,FL,,2.0,2.0,ChargePoint Network
761,FL,,,2.0,ChargePoint Network
